tid,toi,tfopwg_disp,pl_orbper,pl_tranmid,pl_trandurh
276376289,"5906.01","APC",30.1181254,2459801.1505910,3.3132176
387318486,"5907.01","PC",0.6583175,2459823.8504600,0.7960000
452483795,"5908.01","FP",2.4515393,2459823.0848900,3.0050000
354489554,"5909.01","PC",4.7729363,2459819.1780700,3.3440000
146261607,"591.01","FP",8.4915117,2459262.0457540,6.0350000
273774284,"5910.01","FP",17.2182695,2459821.9230320,7.8880000
239361732,"5911.01","PC",4.0098230,2459821.6531390,4.0150000
16538820,"5912.01","PC",6.9038328,2459840.9170970,5.4830000
289313987,"5913.01","APC",10.1522322,2459819.8181600,6.6140000
187416256,"5914.01","PC",4.3887257,2459816.8042170,3.2430000
329709756,"5915.01","FP",12.5482879,2459849.1549950,3.3960000
115683877,"6144.01","PC",6.3765906,2459849.0626600,5.3030000
404488903,"6145.01","PC",3.9921399,2459852.1140720,3.2990000
372178596,"6146.01","PC",4.5803096,2459851.1685080,4.9620000
402740809,"6147.01","FA",1.5801759,2459851.4683480,0.6450000
371573539,"6148.01","PC",8.3753156,2459849.6312310,2.6870000
195606729,"6149.01","PC",13.3562254,2459831.7510030,7.2140000
190496853,"615.01","CP",4.6616079,2460010.0136060,4.0070000
434186655,"6150.01","PC",1.3094686,2459851.6335980,1.1080000
312289279,"6151.01","PC",1.4354814,2459852.3116610,2.1740000
117068362,"6152.01","FP",4.2005957,2459849.0273620,2.5870000
411343008,"6153.01","PC",3.6720231,2459848.6561160,3.0640000
301986302,"6154.01","PC",2.3019190,2459850.4341600,1.6140000
120051913,"6155.01","PC",1.6029811,2459851.7268730,0.9550000
117072799,"6156.01","APC",12.6885127,2459852.1266470,1.5070000
86005116,"6157.01","FP",0.4916402,2459852.5479450,0.4530000
404456775,"6158.01","CP",3.0444485,2459851.2077210,0.9160000
422037524,"6159.01","PC",4.1846077,2459852.6516120,1.8050000
145879095,"616.01","PC",2.8056739,2460035.2292420,2.2990000
294904059,"6160.01","PC",40.7401072,2459832.7627520,2.8330000
452867348,"6408.01","PC",8.0924283,2459986.0957590,2.0470000
97279971,"6409.01","PC",1.5304279,2459987.3560290,2.9510000
49079670,"641.01","APC",1.8930707,2459223.6415880,1.3390000
142916753,"6410.01","PC",5.1491091,2459979.3073110,4.6670000
106829921,"6411.01","PC",8.2165446,2459987.5656050,3.4380000
176082442,"6412.01","PC",3.9802888,2459981.6802440,1.3820000
170466784,"6413.01","PC",10.8310228,2459974.1678380,1.5160000
169191182,"6414.01","PC",17.7607727,2459987.7304830,4.4740000
157050713,"6415.01","PC",20.8380576,2459981.6281510,3.5610000
106626059,"6416.01","PC",8.2330943,2459980.2023690,3.1720000
95191643,"6417.01","PC",3.3458255,2459987.1019040,3.8210000
36022284,"6418.01","PC",4.6478092,2459980.5191310,3.4540000
144037593,"6419.01","PC",4.1604540,2459981.5899030,2.5720000
79292541,"642.01","PC",2.2786049,2459227.2307520,1.9240000
143526233,"6420.01","PC",6.9615164,2459985.8483490,2.4030000
107617930,"6421.01","PC",3.7507780,2459985.8030530,3.1270000
140740440,"6422.01","PC",3.7521603,2459985.5045940,2.1000000
141458054,"6423.01","PC",1.3648290,2459985.5585930,1.2500000
98159959,"6424.01","PC",2.0396825,2459984.9287340,2.4730000
333736132,"6669.01","CP",731.9966539,2459283.5474740,2.8925430
101955023,"667.01","KP",1.6289322,2459280.9894040,0.8092760
99989903,"6673.01","PC",19.7468103,2458703.0101340,7.1658967
423360793,"6676.01","PC",22.6957088,2458397.0639280,5.3266755
62085710,"6677.01","PC",5.4496736,2460149.2346910,0.2030000
253864764,"6678.01","PC",3.4268387,2460149.8349700,1.2880000
344034178,"6679.01","PC",2.3170053,2460128.2772220,1.1222790
102195674,"668.01","APC",4.3787302,2459283.0656090,3.8275040
6898572,"6680.01","PC",4.3816966,2460130.6493760,5.6016210
425817867,"6681.01","KP",3.7783401,2460129.9895900,2.8296300
254141733,"6682.01","PC",4.2436240,2460127.2017620,3.8869543
305506996,"5916.01","CP",2.3682389,2459817.6896660,1.8660000
239529652,"5917.01","PC",4.0387941,2459816.8413120,3.5370000
305790119,"5918.01","PC",2.0353259,2459821.6370720,2.0320000
165948070,"5919.01","PC",4.3686174,2459815.4548320,2.9430000
196286587,"592.01","FP",10.4137962,2459974.9373440,3.4820000
467006627,"5920.01","FP",15.4159906,2459801.1559220,2.1270000
286545058,"5921.01","PC",5.0114216,2459819.6371900,4.5140000
364192929,"5922.01","PC",5.2079858,2459820.9223180,3.7950000
60491424,"5923.01","PC",4.0252588,2459817.1552090,3.5960000
289125016,"5924.01","FP",6.2043746,2459822.5273630,5.9570000
345193111,"5925.01","PC",6.1606297,2459814.4568400,2.2180000
372831381,"5926.01","PC",3.8116176,2459823.7593090,1.9970000
163164300,"5927.01","PC",3.7306955,2459817.0359180,3.6570000
387318409,"5928.01","PC",3.2465650,2459818.5985770,3.4780000
92217989,"5929.01","PC",4.6079976,2459816.4565620,3.1480000
128463355,"593.01","FP",13.9086000,2458493.0850900,2.9870000
88266880,"5930.01","PC",3.7984372,2459817.9830090,4.5390000
24833662,"5931.01","PC",4.2447791,2459823.7083700,2.8960000
405122173,"5932.01","PC",3.1003012,2459823.9948550,1.8260000
188001223,"6161.01","PC",5.7415661,2459846.6650720,1.4140000
164260243,"6162.01","PC",1.8478843,2459852.1166900,2.8090000
422457210,"6163.01","PC",9.9754699,2459843.2417820,3.4650000
239542854,"6164.01","PC",3.6948038,2459850.9069150,1.2030000
287863314,"6165.01","PC",4.3172876,2459852.2133090,2.1780000
190822775,"6166.01","PC",1.8021196,2459850.6431710,2.4070000
330665027,"6167.01","PC",6.7080688,2459841.6438380,4.6700000
10593553,"6168.01","PC",5.0809743,2459848.4095360,4.0800000
193979250,"6169.01","PC",17.9661374,2459844.9445890,3.7910000
141227133,"617.01","FP",2.4223200,2458518.7000400,2.8730000
51637609,"6170.01","CP",2.7096310,2459849.0756920,3.2820000
67478724,"6171.01","PC",3.7473877,2459848.4305550,4.8120000
26583436,"6172.01","FP",6.1429164,2459851.7024220,4.4750000
