kepid,kepler_name,kepoi_name,koi_disposition,koi_period,koi_time0bk,koi_duration
6449552,,"K06714.01","FALSE POSITIVE",20.148807707,135.8116283,8.52557
6452742,,"K06715.01","FALSE POSITIVE",0.687772143,131.8669185,2.56725
6464285,,"K06716.01","FALSE POSITIVE",0.843651274,131.9478111,2.80468
6466939,,"K06717.01","FALSE POSITIVE",1.142946648,131.9010021,3.40234
6468938,,"K06718.01","FALSE POSITIVE",7.217010987,135.4523674,4.4215
8429014,,"K07885.01","FALSE POSITIVE",9.72869627,140.71571,5.628
7200301,,"K06844.01","FALSE POSITIVE",0.566791802,131.81736,2.2
7203179,,"K06845.01","FALSE POSITIVE",2.245738777,133.2650421,8.61629
7203194,,"K06846.01","FALSE POSITIVE",2.24572117,133.26678,3.88
7204073,,"K06847.01","FALSE POSITIVE",0.566801906,131.79673,1.626
7212722,,"K06848.01","FALSE POSITIVE",2.316171991,132.311636,4.03025
7217088,,"K06849.01","CANDIDATE",12.54474243,139.58304,1.24
7280953,,"K06850.01","FALSE POSITIVE",0.56680208,131.7056,1.22
7281217,,"K06851.01","FALSE POSITIVE",0.566810701,131.80761,6.19
7281229,,"K06852.01","FALSE POSITIVE",0.566813319,131.78768,3.752
8143170,,"K06976.01","FALSE POSITIVE",28.787257509,137.094192,13.953
8145789,,"K06977.01","FALSE POSITIVE",0.835315046,131.9570817,2.45449
8145958,,"K06978.01","CANDIDATE",3.07551068,134.46857,1.683
8155584,,"K06979.01","FALSE POSITIVE",26.0164225,157.37769,4.1768
8155654,,"K06980.01","CANDIDATE",6.29340543,133.8686,3.024
8158324,,"K06981.01","FALSE POSITIVE",593.19521,333.732,25.65
8162376,,"K06982.01","FALSE POSITIVE",0.706430188,132.14208,1.301
8167504,,"K06983.01","CANDIDATE",7.7021729,138.4181,3.987
8953281,,"K07112.01","FALSE POSITIVE",0.78430061,132.23164,2.952
8953426,,"K07113.01","FALSE POSITIVE",2.665875491,131.6187983,7.59461
8953475,,"K07114.01","FALSE POSITIVE",2.6658312,131.627,5.771
8957572,,"K07115.01","FALSE POSITIVE",1.5765874,132.4469,15.18
8958811,,"K07116.01","CANDIDATE",2.52557582,133.06586,2.32
8958939,,"K07117.01","CANDIDATE",8.2927558,135.0352,4.784
8958939,,"K07117.02","CANDIDATE",22.786522,153.2108,2.197
8973000,,"K07118.01","FALSE POSITIVE",28.027891356,158.348172,17.3269
9881258,,"K07242.01","FALSE POSITIVE",2.028512246,132.8392103,5.00309
9899153,,"K07243.01","FALSE POSITIVE",1.33256167,132.0567,3.743
9899193,,"K07244.01","FALSE POSITIVE",1.332567821,132.0544581,3.4844
9899410,,"K07245.01","FALSE POSITIVE",1.332545609,132.05755,3.997
9899421,,"K07246.01","FALSE POSITIVE",1.33256256,132.04698,3.088
9899577,,"K07247.01","FALSE POSITIVE",1.33258981,132.0364,3.987
9899583,,"K07248.01","FALSE POSITIVE",1.33258375,132.0362,4.081
9906489,,"K07249.01","FALSE POSITIVE",8.9648813,137.5394,61.23
10815677,,"K07376.01","CANDIDATE",1.284241817,132.65223,1.965
10816107,,"K07377.01","FALSE POSITIVE",2.161583501,131.80273,4.0537
10843431,"Kepler-1999 b","K07378.01","CONFIRMED",8.7396758,136.5829,3.866
10847907,,"K07379.01","FALSE POSITIVE",0.535493486,131.743209,2.57
10848097,,"K07380.01","CANDIDATE",15.9474242,137.49449,1.127
10849244,,"K07381.01","FALSE POSITIVE",24.261683827,147.2417593,7.1617
10857589,,"K07382.01","FALSE POSITIVE",32.532521502,147.077355,13.3991
10866969,,"K07383.01","CANDIDATE",50.0122,153.9789,3.426
12022718,,"K07508.01","FALSE POSITIVE",4.627775175,133.390355,3.4079
12053823,,"K07509.01","FALSE POSITIVE",28.7850347,145.7978,2.102
12067960,,"K07510.01","CANDIDATE",5.60682001,135.84466,2.714
12071006,,"K07511.01","FALSE POSITIVE",6.096030635,135.0308909,18.4531
12105785,,"K07512.01","FALSE POSITIVE",31.953038766,142.708054,8.0461
12106875,,"K07513.01","FALSE POSITIVE",5.9371708,135.957,4.954
